n,surface_xi,xi_end,mass_from_slope,mass_from_simpson,mass_abs_difference
1.0,3.141592653589803,3.141592653589803,3.141592653667488,3.1415926535897927,7.769518362010785e-11
3.5,9.535805344247098,9.535805344247098,1.8905570934432343,1.8905570934432774,4.3076653355456074e-14
4.0,14.971546348843857,14.971546348843857,1.7972299144393977,1.7972299144394939,9.614531393253856e-14
4.5,31.836463244717397,31.836463244717397,1.737798867666302,1.7377988676663922,9.015010959956271e-14
5.0,,40.0,1.7271908070773432,1.7271908070774185,7.527312106958561e-14
