xi,theta,dtheta_dxi,rho_over_rhoc,dimensionless_mass
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-0.000000000000000000e+00
1.000000000000000082e-05,9.999999999833333320e-01,-3.333333333216667241e-06,9.999999999416666618e-01,3.333333333216667967e-16
2.394544972304850968e-03,9.999990443600214052e-01,-7.981800555598281190e-04,9.999966552640703332e-01,4.576641219047438331e-09
4.779089944609701476e-03,9.999961933984314877e-01,-1.593017247080984102e-03,9.999866769579047743e-01,3.638403713114821422e-08
7.163634916914552418e-03,9.999914471326057930e-01,-2.387835417116429115e-03,9.999700652841568838e-01,1.225381385428151411e-07
9.548179889219403360e-03,9.999848056192168766e-01,-3.182625075584297625e-03,9.999468206773041157e-01,2.901527328523638532e-07
1.193272486152425343e-02,9.999762689375653046e-01,-3.977376733250297634e-03,9.999169437452888332e-01,5.663383652814352987e-07
1.431726983382910524e-02,9.999658371895787656e-01,-4.772080902166303193e-03,9.998804352694905528e-01,9.782012600076706533e-07
1.670181480613395705e-02,9.999535104998068524e-01,-5.566728095704569224e-03,9.998372962046763179e-01,1.552842241523809837e-06
1.908635977843880713e-02,9.999392890154189528e-01,-6.361308829161341563e-03,9.997875276789552901e-01,2.317355656441132335e-06
2.147090475074365720e-02,9.999231729061982543e-01,-7.155813619789603772e-03,9.997311309937121360e-01,3.298828295605215115e-06
2.385544972304850728e-02,9.999051623645376363e-01,-7.950232987272662713e-03,9.996681076235406360e-01,4.524338316811998505e-06
2.623999469535336082e-02,9.998852576054332308e-01,-8.744557453945249470e-03,9.995984592161616389e-01,6.020954168023219937e-06
2.862453966765821090e-02,9.998634588664768730e-01,-9.538777545055894536e-03,9.995221875923306909e-01,7.815733511203794954e-06
3.100908463996306097e-02,9.998397664078503277e-01,-1.033288378913661994e-02,9.994392947457447773e-01,9.935722146938526147e-06
3.339362961226791798e-02,9.998141805123158532e-01,-1.112686671824507714e-02,9.993497828429293017e-01,1.240795293974427525e-05
3.577817458457276806e-02,9.997867014852088730e-01,-1.192071686833522451e-02,9.992536542231252872e-01,1.525944474434636242e-05
3.816271955687761813e-02,9.997573296544254307e-01,-1.271442477935516395e-02,9.991509113981520418e-01,1.851720133255123262e-05
4.054726452918246821e-02,9.997260653704161948e-01,-1.350798099581716587e-02,9.990415570522848121e-01,2.220821032167015626e-05
4.293180950148731828e-02,9.996929090061722478e-01,-1.430137606687531711e-02,9.989255940420983526e-01,2.635944210339763574e-05
4.531635447379216836e-02,9.996578609572155383e-01,-1.509460054673713095e-02,9.988030253963178229e-01,3.099784877425215072e-05
4.770089944609701843e-02,9.996209216415860022e-01,-1.588764499492218221e-02,9.986738543156533643e-01,3.615036306700850283e-05
5.008544441840187544e-02,9.995820914998244655e-01,-1.668049997639855023e-02,9.985380841726115841e-01,4.184389728304741576e-05
5.246998939070672552e-02,9.995413709949686476e-01,-1.747315606224562196e-02,9.983957185113465638e-01,4.810534222726062356e-05
5.485453436301157559e-02,9.994987606125289581e-01,-1.826560382958436826e-02,9.982467610474332620e-01,5.496156614269900306e-05
5.723907933531642567e-02,9.994542608604780609e-01,-1.905783386202930876e-02,9.980912156676819968e-01,6.243941364786050139e-05
5.962362430762127574e-02,9.994078722692371075e-01,-1.984983675004096948e-02,9.979290864299354968e-01,7.056570467541056562e-05
6.200816927992612582e-02,9.993595953916534214e-01,-2.064160309104429505e-02,9.977603775628276495e-01,7.936723341172378780e-05
6.439271425223097589e-02,9.993094308029828454e-01,-2.143312348968211961e-02,9.975850934655532409e-01,8.887076723836739671e-05
6.677725922453582597e-02,9.992573791008838580e-01,-2.222438855850887574e-02,9.974032387076713357e-01,9.910304567721167700e-05
6.916180419684067604e-02,9.992034409053868194e-01,-2.301538891786802238e-02,9.972148180288152863e-01,1.100907793342161098e-04
7.154634916914552611e-02,9.991476168588765416e-01,-2.380611519627007927e-02,9.970198363384419338e-01,1.218606488468810520e-04
7.393089414145037619e-02,9.990899076260764122e-01,-2.459655803077746838e-02,9.968182987155811414e-01,1.344393038338519359e-04
7.631543911375522626e-02,9.990303138940289651e-01,-2.538670806731463392e-02,9.966102104085640123e-01,1.478533618463088930e-04
7.869998408606007634e-02,9.989688363720687914e-01,-2.617655596082900729e-02,9.963955768347196873e-01,1.621294073205789912e-04
8.108452905836492641e-02,9.989054757917974481e-01,-2.696609237548448779e-02,9.961744035800713659e-01,1.772939905328419722e-04
8.346907403066977649e-02,9.988402329070662500e-01,-2.775530798508913516e-02,9.959466963990535326e-01,1.933736265574625632e-04
8.585361900297462656e-02,9.987731084939672765e-01,-2.854419347373508831e-02,9.957124612142511655e-01,2.103947942294951377e-04
8.823816397527947664e-02,9.987041033507851884e-01,-2.933273953548840712e-02,9.954717041159959479e-01,2.283839351030302446e-04
9.062270894758432671e-02,9.986332182979820171e-01,-3.012093687490735930e-02,9.952244313620707272e-01,2.473674524173052436e-04
9.300725391988917679e-02,9.985604541781714083e-01,-3.090877620733260486e-02,9.949706493773703420e-01,2.673717100639048895e-04
9.539179889219402686e-02,9.984858118560975271e-01,-3.169624825924961808e-02,9.947103647535729953e-01,2.884230315571910505e-04
9.777634386449889081e-02,9.984092922186069696e-01,-3.248334376855217809e-02,9.944435842487800992e-01,3.105476990066278011e-04
1.001608888368037409e-01,9.983308961746166776e-01,-3.327005348474055407e-02,9.941703147871359114e-01,3.337719520910980859e-04
1.025454338091085910e-01,9.982506246550825191e-01,-3.405636816912575859e-02,9.938905634584430659e-01,3.581219870358059889e-04
1.049299787814134410e-01,9.981684786129699782e-01,-3.484227859511113135e-02,9.936043375177797676e-01,3.836239555926155447e-04
1.073145237537182911e-01,9.980844590232330615e-01,-3.562777554862261303e-02,9.933116443851375266e-01,4.103039640249723629e-04
1.096990687260231412e-01,9.979985668828009748e-01,-3.641284982871495490e-02,9.930124916450819850e-01,4.381880720983407523e-04
1.120836136983279913e-01,9.979108032105177273e-01,-3.719749224728462200e-02,9.927068870462411043e-01,4.673022920634784970e-04
1.144681586706328413e-01,9.978211690471160411e-01,-3.798169362942833277e-02,9.923948385009081496e-01,4.976725876494802938e-04
1.168527036429376914e-01,9.977296654551894850e-01,-3.876544481384925495e-02,9.920763540846317952e-01,5.293248730608482965e-04
1.192372486152425415e-01,9.976362935191609438e-01,-3.954873665311661735e-02,9.917514420357873561e-01,5.622850119761039610e-04
1.216217935875473916e-01,9.975410543452524204e-01,-4.033156001400138579e-02,9.914201107551459113e-01,5.965788165507387606e-04
1.240063385598522416e-01,9.974439490614516179e-01,-4.111390577774690774e-02,9.910823688054267722e-01,6.322320464227117447e-04
1.263908835321571056e-01,9.973449788174734154e-01,-4.189576484030002601e-02,9.907382249108258598e-01,6.692704077207060681e-04
1.287754285044619695e-01,9.972441447847214535e-01,-4.267712811252810656e-02,9.903876879565383096e-01,7.077195520754656294e-04
1.311599734767668057e-01,9.971414481562488330e-01,-4.345798652044748078e-02,9.900307669882717487e-01,7.476050756346417064e-04
1.335445184490716697e-01,9.970368901467210332e-01,-4.423833100548883734e-02,9.896674712117619066e-01,7.889525180817122873e-04
1.359290634213765059e-01,9.969304719923828273e-01,-4.501815252482485596e-02,9.892978099922954405e-01,8.317873616596536783e-04
1.383136083936813698e-01,9.968221949510300828e-01,-4.579744205178584021e-02,9.889217928542440861e-01,8.761350302002159172e-04
1.406981533659862060e-01,9.967120603019886671e-01,-4.657619057638605342e-02,9.885394294806180149e-01,9.220208881597289881e-04
1.430826983382910700e-01,9.966000693460392856e-01,-4.735438910507163562e-02,9.881507297124244582e-01,9.694702396438713158e-04
1.454672433105959062e-01,9.964862234053688539e-01,-4.813202866081937870e-02,9.877557035481133729e-01,1.018508327441661676e-03
1.478517882829007701e-01,9.963705238235599504e-01,-4.890910028388811837e-02,9.873543611431501166e-01,1.069160332076941888e-03
1.502363332552056063e-01,9.962529719655339733e-01,-4.968559503185211029e-02,9.869467128094203678e-01,1.121451370849670939e-03
1.526208782275104703e-01,9.961335692175158352e-01,-5.046150397993820480e-02,9.865327690147048800e-01,1.175406496887394011e-03
1.550054231998153342e-01,9.960123169869946613e-01,-5.123681822132204744e-02,9.861125403821344726e-01,1.231050698200159173e-03
1.573899681721201704e-01,9.958892167026809350e-01,-5.201152886739253411e-02,9.856860376896274811e-01,1.288408896738986887e-03
1.597745131444250344e-01,9.957642698144609783e-01,-5.278562704799381194e-02,9.852532718693112201e-01,1.347505947458028626e-03
1.621590581167298706e-01,9.956374777933504339e-01,-5.355910391165374929e-02,9.848142540069361184e-01,1.408366637380584381e-03
1.645436030890347345e-01,9.955088421314464142e-01,-5.433195062580849916e-02,9.843689953412779747e-01,1.471015684669241654e-03
1.669281480613395707e-01,9.953783643418790961e-01,-5.510415837703194070e-02,9.839175072635344410e-01,1.535477737700390076e-03
1.693126930336444347e-01,9.952460459587653130e-01,-5.587571837127952579e-02,9.834598013167217267e-01,1.601777374143489386e-03
1.716972380059492709e-01,9.951118885371624811e-01,-5.664662183415548197e-02,9.829958891950680844e-01,1.669939100045470665e-03
1.740817829782541348e-01,9.949758936530253006e-01,-5.741686001121280164e-02,9.825257827434107361e-01,1.739987348920767410e-03
1.764663279505589710e-01,9.948380629031661204e-01,-5.818642416829500341e-02,9.820494939566005721e-01,1.811946480847496628e-03
1.788508729228638350e-01,9.946983979052185232e-01,-5.895530559192906778e-02,9.815670349789127336e-01,1.885840781570423787e-03
1.812354178951686712e-01,9.945569002976026862e-01,-5.972349558974256178e-02,9.810784181034576390e-01,1.961694461610200089e-03
1.836199628674735351e-01,9.944135717393892682e-01,-6.049098548973725481e-02,9.805836557712368506e-01,2.039531655339758831e-03
1.860045078397783713e-01,9.942684139103010743e-01,-6.125776664108213698e-02,9.800827605706696755e-01,2.119376420113031675e-03
1.883890528120832353e-01,9.941214285106763082e-01,-6.202383041457619484e-02,9.795757452369819873e-01,2.201252735389669628e-03
1.907735977843880715e-01,9.939726172613969624e-01,-6.278916820265835474e-02,9.790626226514694830e-01,2.285184501849404914e-03
1.931581427566929354e-01,9.938219819038422997e-01,-6.355377141970577903e-02,9.785434058408426505e-01,2.371195540520917074e-03
1.955426877289977994e-01,9.936695241998398931e-01,-6.431763150231009640e-02,9.780181079765586372e-01,2.459309591915200682e-03
1.979272327013026356e-01,9.935152459316147766e-01,-6.508073990953495980e-02,9.774867423741410155e-01,2.549550315163501887e-03
2.003117776736074995e-01,9.933591489017352671e-01,-6.584308812315856074e-02,9.769493224924845620e-01,2.641941287159914418e-03
2.026963226459123357e-01,9.932012349330577861e-01,-6.660466764790405614e-02,9.764058619331501543e-01,2.736506001708696213e-03
2.050808676182171997e-01,9.930415058686702379e-01,-6.736547001166165449e-02,9.758563744396508977e-01,2.833267868676470156e-03
2.074654125905220359e-01,9.928799635718345007e-01,-6.812548676570547024e-02,9.753008738967309244e-01,2.932250213149409108e-03
2.098499575628268998e-01,9.927166099259275844e-01,-6.888470948490865720e-02,9.747393743296339785e-01,3.033476274595608632e-03
2.122345025351317360e-01,9.925514468343833441e-01,-6.964312976796008248e-02,9.741718899033702250e-01,3.136969206032799631e-03
2.146190475074366000e-01,9.923844762206341930e-01,-7.040073923758610741e-02,9.735984349219778400e-01,3.242752073201659799e-03
2.170035924797414362e-01,9.922157000280530381e-01,-7.115752954078050085e-02,9.730190238277813819e-01,3.350847853744929033e-03
2.193881374520463001e-01,9.920451202198967700e-01,-7.191349234904623189e-02,9.724336712006511618e-01,3.461279436392643207e-03
2.217726824243511363e-01,9.918727387792499739e-01,-7.266861935865223665e-02,9.718423917572581727e-01,3.574069620153755202e-03
2.241572273966560003e-01,9.916985577089717507e-01,-7.342290229090869813e-02,9.712452003503367903e-01,3.689241113514525692e-03
2.265417723689608365e-01,9.915225790316438692e-01,-7.417633289246400308e-02,9.706421119679459197e-01,3.806816533644002444e-03
2.289263173412657004e-01,9.913448047895208060e-01,-7.492890293562705362e-02,9.700331417327336947e-01,3.926818405607059546e-03
2.313108623135705644e-01,9.911652370444841154e-01,-7.568060421871791732e-02,9.694183049012122799e-01,4.049269161585372992e-03
2.336954072858754006e-01,9.909838778779047619e-01,-7.643142856563982235e-02,9.687976168627133733e-01,4.174191140062601113e-03
2.360799522581802645e-01,9.908007293905470858e-01,-7.718136782576168198e-02,9.681710931384825969e-01,4.301606585028424495e-03
2.384644972304851007e-01,9.906157937026439653e-01,-7.793041387534778430e-02,9.675387493813565332e-01,4.431537645274127683e-03
2.408490422027899647e-01,9.904290729537555960e-01,-7.867855861713679566e-02,9.669006013746931361e-01,4.564006373594985469e-03
2.432335871750948009e-01,9.902405693027127587e-01,-7.942579398059561313e-02,9.662566650315899119e-01,4.699034726034231370e-03
2.456181321473996648e-01,9.900502849275562012e-01,-8.017211192216505689e-02,9.656069563940830047e-01,4.836644561132844369e-03
2.480026771197045010e-01,9.898582220254762420e-01,-8.091750442549403011e-02,9.649514916323440605e-01,4.976857639184904120e-03
2.503872220920093650e-01,9.896643828127489328e-01,-8.166196350166386730e-02,9.642902870438618823e-01,5.119695621498612619e-03
2.527717670643142012e-01,9.894687695246715542e-01,-8.240548118940341227e-02,9.636233590526174231e-01,5.265180069662969350e-03
2.551563120366190374e-01,9.892713844154962244e-01,-8.314804955529676855e-02,9.629507242082492313e-01,5.413332444820229995e-03
2.575408570089239291e-01,9.890722297583627309e-01,-8.388966069398451353e-02,9.622723991852121239e-01,5.564174106944150440e-03
2.599254019812287653e-01,9.888713078452302518e-01,-8.463030672835983315e-02,9.615884007819296420e-01,5.717726314124138391e-03
2.623099469535336015e-01,9.886686209868080777e-01,-8.536997980976084033e-02,9.608987459199386238e-01,5.874010221855401927e-03
2.646944919258384377e-01,9.884641715124853345e-01,-8.610867211816022881e-02,9.602034516430272282e-01,6.033046882335167845e-03
2.670790368981433294e-01,9.882579617702613728e-01,-8.684637586235355311e-02,9.595025351163724014e-01,6.194857243765100781e-03
2.694635818704481656e-01,9.880499941266751573e-01,-8.758308328014745292e-02,9.587960136256703514e-01,6.359462149660048864e-03
2.718481268427530018e-01,9.878402709667339909e-01,-8.831878663854902944e-02,9.580839045762615802e-01,6.526882338163253819e-03
2.742326718150578935e-01,9.876287946938439033e-01,-8.905347823395766416e-02,9.573662254922581383e-01,6.697138441368172095e-03
2.766172167873627297e-01,9.874155677297390410e-01,-8.978715039236030704e-02,9.566429940156653267e-01,6.870250984647036270e-03
2.790017617596675659e-01,9.872005925144120564e-01,-9.051979546953196898e-02,9.559142279055022895e-01,7.046240385986417797e-03
2.813863067319724021e-01,9.869838715060451628e-01,-9.125140585124220938e-02,9.551799450369236055e-01,7.225126955329896038e-03
2.837708517042772938e-01,9.867654071809419669e-01,-9.198197395346904837e-02,9.544401634003389923e-01,7.406930893928090343e-03
2.861553966765821300e-01,9.865452020334606331e-01,-9.271149222262156653e-02,9.536949011005357857e-01,7.591672293696243370e-03
2.885399416488869662e-01,9.863232585759480475e-01,-9.343995313577257988e-02,9.529441763558007539e-01,7.779371136579658376e-03
2.909244866211918024e-01,9.860995793386752029e-01,-9.416734920090229222e-02,9.521880074970449082e-01,7.970047293927157855e-03
2.933090315934966941e-01,9.858741668697749150e-01,-9.489367295715452066e-02,9.514264129669313119e-01,8.163720525872908765e-03
2.956935765658015303e-01,9.856470237351773189e-01,-9.561891697508241583e-02,9.506594113189945627e-01,8.360410480724731266e-03
2.980781215381063665e-01,9.854181525183421941e-01,-9.634307385554705117e-02,9.498870212160708260e-01,8.560136694240176938e-03
3.004626665104112027e-01,9.851875558203402328e-01,-9.706613623087421983e-02,9.491092614299048158e-01,8.762918589102329167e-03
3.028472114827160944e-01,9.849552362598370525e-01,-9.778809676547808860e-02,9.483261508404245976e-01,8.968775474361912609e-03
3.052317564550209306e-01,9.847211964729394307e-01,-9.850894815552693751e-02,9.475377084345496526e-01,9.177726544800913350e-03
3.076163014273257668e-01,9.844854391131241389e-01,-9.922868312914297217e-02,9.467439533052744993e-01,9.389790880349316304e-03
3.100008463996306585e-01,9.842479668511656676e-01,-9.994729444659458673e-02,9.459449046507477643e-01,9.604987445508266289e-03
3.123853913719354947e-01,9.840087823750627294e-01,-1.006647749004818820e-01,9.451405817733435910e-01,9.823335088779751659e-03
3.147699363442403309e-01,9.837678883899628746e-01,-1.013811173159160361e-01,9.443310040787253890e-01,1.004485254210283132e-02
3.171544813165451671e-01,9.835252876180866632e-01,-1.020963145506926517e-01,9.435161910749053638e-01,1.026955842029637217e-02
3.195390262888500588e-01,9.832809827986501716e-01,-1.028103594954598299e-01,9.426961623712967198e-01,1.049747122050839754e-02
3.219235712611548950e-01,9.830349766877866102e-01,-1.035232450738812898e-01,9.418709376777614217e-01,1.072860932167201027e-02
3.243081162334597312e-01,9.827872720584679422e-01,-1.042349642427952555e-01,9.410405368036548479e-01,1.096299098396802570e-02
3.266926612057645674e-01,9.825378717004240592e-01,-1.049455099923692625e-01,9.402049796568612283e-01,1.120063434829423298e-02
3.290772061780694591e-01,9.822867784200627339e-01,-1.056548753462516615e-01,9.393642862428300822e-01,1.144155743574145311e-02
3.314617511503742953e-01,9.820339950403881302e-01,-1.063630533617199447e-01,9.385184766636056608e-01,1.168577814707631897e-02
3.338462961226791315e-01,9.817795244009194233e-01,-1.070700371298269615e-01,9.376675711168553917e-01,1.193331426223099428e-02
3.362308410949839677e-01,9.815233693576081997e-01,-1.077758197755447761e-01,9.368115898948921050e-01,1.218418343979973083e-02
3.386153860672888594e-01,9.812655327827566332e-01,-1.084803944579072338e-01,9.359505533836982583e-01,1.243840321654243221e-02
3.409999310395936956e-01,9.810060175649343295e-01,-1.091837543701513896e-01,9.350844820619439446e-01,1.269599100689525889e-02
3.433844760118985318e-01,9.807448266088958366e-01,-1.098858927398584512e-01,9.342133965000047890e-01,1.295696410248838373e-02
3.457690209842034235e-01,9.804819628354981553e-01,-1.105868028290946242e-01,9.333373173589800675e-01,1.322133967167095359e-02
3.481535659565082597e-01,9.802174291816173612e-01,-1.112864779345522914e-01,9.324562653897052744e-01,1.348913475904331763e-02
3.505381109288130959e-01,9.799512286000667816e-01,-1.119849113876922042e-01,9.315702614317695751e-01,1.376036628499673412e-02
3.529226559011179321e-01,9.796833640595142834e-01,-1.126820965548869513e-01,9.306793264125282628e-01,1.403505104526052774e-02
3.553072008734228238e-01,9.794138385444008943e-01,-1.133780268375663425e-01,9.297834813461194337e-01,1.431320571045688154e-02
3.576917458457276600e-01,9.791426550548588681e-01,-1.140726956723649710e-01,9.288827473324767769e-01,1.459484682566334832e-02
3.600762908180324962e-01,9.788698166066311934e-01,-1.147660965312728709e-01,9.279771455563470273e-01,1.487999080998327756e-02
3.624608357903373324e-01,9.785953262309915468e-01,-1.154582229217890749e-01,9.270666972863076394e-01,1.516865395612415103e-02
3.648453807626422241e-01,9.783191869746642455e-01,-1.161490683870793350e-01,9.261514238737826865e-01,1.546085242998413746e-02
3.672299257349470603e-01,9.780414018997465320e-01,-1.168386265061377577e-01,9.252313467520670853e-01,1.575660227024685070e-02
3.696144707072518965e-01,9.777619740836303031e-01,-1.175268908939534201e-01,9.243064874353470461e-01,1.605591938798460114e-02
3.719990156795567326e-01,9.774809066189258377e-01,-1.182138552016820249e-01,9.233768675177266294e-01,1.635881956627022182e-02
3.743835606518616244e-01,9.771982026133860799e-01,-1.188995131168233410e-01,9.224425086722557454e-01,1.666531845979766363e-02
3.767681056241664606e-01,9.769138651896775993e-01,-1.195838583626181451e-01,9.215034326494501160e-01,1.697543159439986876e-02
3.791526505964712968e-01,9.766278974851948513e-01,-1.202668846976205075e-01,9.205596612759573416e-01,1.728917436659156703e-02
3.815371955687761329e-01,9.763403026523701511e-01,-1.209485859178421469e-01,9.196112164548565504e-01,1.760656204348788959e-02
3.839217405410810247e-01,9.760510838583756899e-01,-1.216289558558328182e-01,9.186581201639502092e-01,1.792760976230088968e-02
3.863062855133858609e-01,9.757602442850342728e-01,-1.223079883807816209e-01,9.177003944547453829e-01,1.825233252998467032e-02
