xi,theta,dtheta_dxi,rho_over_rhoc,dimensionless_mass
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-0.000000000000000000e+00
1.000000000000000082e-05,9.999999999833333320e-01,-3.333333333300000460e-06,9.999999999833333320e-01,3.333333333300000768e-16
7.955920614128039010e-04,9.999998945055399435e-01,-2.651973165887208444e-04,9.999998945055399435e-01,1.678610778040936888e-10
1.581184122825607776e-03,9.999995833095135511e-01,-5.270612424213289970e-04,9.999995833095135511e-01,1.317728597180430936e-09
2.366776184238411542e-03,9.999990663953436387e-01,-7.889249527790334962e-04,9.999990663953436387e-01,4.419265293726118707e-09
3.152368245651215525e-03,9.999983437632300465e-01,-1.050788370955940210e-03,9.999983437632300465e-01,1.044213121168494583e-08
3.937960307064019075e-03,9.999974154134405602e-01,-1.312651400058734586e-03,9.999974154134405602e-01,2.035598277742717902e-08
4.723552368476822624e-03,9.999962813463189049e-01,-1.574513943149605764e-03,9.999962813463189049e-01,3.513047161527106009e-08
5.509144429889627041e-03,9.999949415622847448e-01,-1.836375903085925602e-03,9.999949415622847448e-01,5.573524334486489562e-08
6.294736491302430591e-03,9.999933960618344608e-01,-2.098237183076105683e-03,9.999933960618344608e-01,8.313993639720280762e-08
7.080328552715234140e-03,9.999916448455401508e-01,-2.360097686092481242e-03,9.999916448455401508e-01,1.183141808045935933e-07
7.865920614128038557e-03,9.999896879140506289e-01,-2.621957315220840596e-03,9.999896879140506289e-01,1.622275970137194282e-07
8.651512675540842107e-03,9.999875252680902049e-01,-2.883815973452671412e-03,9.999875252680902049e-01,2.158497946798244193e-07
9.437104736953645656e-03,9.999851569084595715e-01,-3.145673563783594768e-03,9.999851569084595715e-01,2.801503714725595222e-07
1.022269679836644921e-02,9.999825828360360269e-01,-3.407529989321728126e-03,9.999825828360360269e-01,3.560989118902404546e-07
1.100828885977925449e-02,9.999798030517726977e-01,-3.669385153075040758e-03,9.999798030517726977e-01,4.446649860461258613e-07
1.179388092119205804e-02,9.999768175566987605e-01,-3.931238958077498506e-03,9.999768175566987605e-01,5.468181484810474551e-07
1.257947298260486159e-02,9.999736263519198864e-01,-4.193091307387361577e-03,9.999736263519198864e-01,6.635279369684479108e-07
1.336506504401766514e-02,9.999702294386177970e-01,-4.454942104050467824e-03,9.999702294386177970e-01,7.957638713134365877e-07
1.415065710543046869e-02,9.999666268180500417e-01,-4.716791251070894669e-03,9.999666268180500417e-01,9.444954521490106050e-07
1.493624916684327397e-02,9.999628184915506646e-01,-4.978638651470791016e-03,9.999628184915506646e-01,1.110692159747917862e-06
1.572184122825607752e-02,9.999588044605302040e-01,-5.240484208345719264e-03,9.999588044605302040e-01,1.295323452841281021e-06
1.650743328966888107e-02,9.999545847264746934e-01,-5.502327824717549894e-03,9.999545847264746934e-01,1.499358767390799007e-06
1.729302535108168462e-02,9.999501592909468828e-01,-5.764169403623679161e-03,9.999501592909468828e-01,1.723767515409544581e-06
1.807861741249448817e-02,9.999455281555853503e-01,-6.026008848105955489e-03,9.999455281555853503e-01,1.969519083763488637e-06
1.886420947390729172e-02,9.999406913221049464e-01,-6.287846061216935747e-03,9.999406913221049464e-01,2.237582832977555595e-06
1.964980153532009527e-02,9.999356487922969050e-01,-6.549680946011424143e-03,9.999356487922969050e-01,2.528928096037212172e-06
2.043539359673289882e-02,9.999304005680283991e-01,-6.811513405534375121e-03,9.999304005680283991e-01,2.844524177187137498e-06
2.122098565814570584e-02,9.999249466512425411e-01,-7.073343342816265124e-03,9.999249466512425411e-01,3.185340350730924066e-06
2.200657771955850939e-02,9.999192870439587155e-01,-7.335170660887069261e-03,9.999192870439587155e-01,3.552345859838659050e-06
2.279216978097131294e-02,9.999134217482729126e-01,-7.596995262817957117e-03,9.999134217482729126e-01,3.946509915371597486e-06
2.357776184238411649e-02,9.999073507663570615e-01,-7.858817051676203827e-03,9.999073507663570615e-01,4.368801694667686428e-06
2.436335390379692004e-02,9.999010741004591418e-01,-8.120635930502693306e-03,9.999010741004591418e-01,4.820190340331074826e-06
2.514894596520972359e-02,9.998945917529032945e-01,-8.382451802348322295e-03,9.998945917529032945e-01,5.301644959053558232e-06
2.593453802662252713e-02,9.998879037260897107e-01,-8.644264570265181025e-03,9.998879037260897107e-01,5.814134620413878682e-06
2.672013008803533068e-02,9.998810100224949649e-01,-8.906074137310746042e-03,9.998810100224949649e-01,6.358628355684312026e-06
