xi,theta,dtheta_dxi,rho_over_rhoc,dimensionless_mass
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-0.000000000000000000e+00
1.000000000000000082e-05,9.999999999833333320e-01,-3.333333333200000597e-06,9.999999999333333278e-01,3.333333333200001308e-16
3.753820042221519843e-03,9.999976514791336646e-01,-1.251266294671404475e-03,9.999906059496278532e-01,1.763179970376860112e-08
7.497640084443039227e-03,9.999906310041953850e-01,-2.499157165561918456e-03,9.999625245434466958e-01,1.404891374830530982e-07
1.124146012666455904e-02,9.999789387946718122e-01,-3.746963971490770064e-03,9.999157578400961199e-01,4.735054324573196619e-07
1.498528016888607886e-02,9.999625752438483506e-01,-4.994644745495044509e-03,9.998503093788579932e-01,1.121590540129352069e-06
1.872910021110759868e-02,9.999415409021070733e-01,-6.242157531984996767e-03,9.997661841124259041e-01,2.189618992370789558e-06
2.247292025332911850e-02,9.999158364768768736e-01,-7.489460390438977024e-03,9.996633884061145725e-01,3.782418243722640431e-06
2.621674029555063831e-02,9.998854628325709593e-01,-8.736511399392549171e-03,9.995419300368499904e-01,6.004756926721437771e-06
2.996056033777215813e-02,9.998504209905062501e-01,-9.983268659869438608e-03,9.994018181919193111e-01,8.961333118094175806e-06
3.370438037999368142e-02,9.998107121288153376e-01,-1.122969029952418027e-02,9.992430634675230072e-01,1.275676261868161854e-05
3.744820042221520123e-02,9.997663375823363507e-01,-1.247573447609546214e-02,9.990656778670707894e-01,1.749556724847203836e-05
4.119202046443672105e-02,9.997172988424958273e-01,-1.372135938135089946e-02,9.988696747992825697e-01,2.328216315976703357e-05
4.493584050665824087e-02,9.996635975571742661e-01,-1.496652324482915762e-02,9.986550690760530591e-01,3.022084917021992516e-05
4.867966054887976068e-02,9.996052355305532489e-01,-1.621118433736847692e-02,9.984218769100765556e-01,3.841579511754594561e-05
5.242348059110128050e-02,9.995422147229614529e-01,-1.745530097521339960e-02,9.981701159123015366e-01,4.797103023971711460e-05
5.616730063332280032e-02,9.994745372506913528e-01,-1.869883152344412741e-02,9.978998050891026983e-01,5.899043158040350447e-05
5.991112067554432014e-02,9.994022053858154786e-01,-1.994173439994011837e-02,9.976109648392863516e-01,7.157771242436667476e-05
